ID_Profesorado;Profesorado;Año;Espacio Curricular;Horas;Cuatrimestre;Formato;Para cursar debe tener Regular;Para cursar debe Aprobar;Para rendir debe tener aprobada
P101;Profesorado de Educación Primaria;1°;Pedagogía;3;Anual;Asignatura;Ninguna;Ninguna;Ninguna
P102;Profesorado de Educación Primaria;1°;Práctica I: Instituciones educativas y comunidad;3;Anual;Práctica;Ninguna;Ninguna;Ninguna
P103;Profesorado de Educación Primaria;1°;Matemática;5;Anual;Asignatura;Ninguna;Ninguna;Ninguna
P104;Profesorado de Educación Primaria;1°;Ciencias Naturales;4;Anual;Asignatura;Ninguna;Ninguna;Ninguna
P105;Profesorado de Educación Primaria;1°;Prácticas del Lenguaje;4;Anual;Asignatura;Ninguna;Ninguna;Ninguna
P106;Profesorado de Educación Primaria;1°;Historia Social Argentina y Latinoamericana;4;1° Cuat.;Asignatura;Ninguna;Ninguna;Ninguna
P107;Profesorado de Educación Primaria;1°;Alfabetización Académica;4;1° Cuat.;Taller;Ninguna;Ninguna;Ninguna
P108;Profesorado de Educación Primaria;1°;Cuerpo, juego y expresión;3;1° Cuat.;Taller;Ninguna;Ninguna;Ninguna
P109;Profesorado de Educación Primaria;1°;Psicología Educacional;4;2° Cuat.;Asignatura;Ninguna;Ninguna;Ninguna
P110;Profesorado de Educación Primaria;1°;Educación Sexual Integral;3;2° Cuat.;Taller;Ninguna;Ninguna;Ninguna
P201;Profesorado de Educación Primaria;2°;Práctica II: Enseñanza y curriculum;4;Anual;Práctica;Ninguna;Ninguna;Ninguna
P202;Profesorado de Educación Primaria;2°;Didáctica General;4;Anual;Asignatura;Pedagogía;Ninguna;Pedagogía
P203;Profesorado de Educación Primaria;2°;Ciencias Sociales;4;Anual;Asignatura;Ninguna;Ninguna;Ninguna
P204;Profesorado de Educación Primaria;2°;Problemática de la educación primaria;4;Anual;Módulo;Pedagogía;Ninguna;Pedagogía
P205;Profesorado de Educación Primaria;2°;Didáctica de la matemática;4;Anual;Módulo;Pedagogía, Matemática;Ninguna;Pedagogía, Matemática
P206;Profesorado de Educación Primaria;2°;Didáctica de las ciencias naturales;4;Anual;Módulo;Pedagogía, Ciencias Naturales;Ninguna;Pedagogía, Ciencias Naturales
P207;Profesorado de Educación Primaria;2°;Sujeto de la Educación Primaria I;4;Anual;Módulo;Psicología Educacional;Ninguna;Psicología Educacional
P208;Profesorado de Educación Primaria;2°;Curriculum;4;1° Cuat.;Módulo;Pedagogía;Ninguna;Pedagogía
P209;Profesorado de Educación Primaria;2°;Historia y política educacional;4;2° Cuat.;Asignatura;Historia Social Argentina y Latinoamericana;Ninguna;Historia Social Argentina y Latinoamericana
P301;Profesorado de Educación Primaria;3°;Práctica III: Práctica de la enseñanza;6;Anual;Práctica;Curriculum, Didáctica General, Problemática de la educación primaria, Didáctica de la matemática, Didáctica de las ciencias naturales, Ciencias Sociales;Pedagogía, Psicología Educacional, Prácticas del Lenguaje, Práctica II: Enseñanza y curriculum;
P302;Profesorado de Educación Primaria;3°;Lenguajes artísticos;3;Anual;Taller;Ninguna;Ninguna;Ninguna
