profesorado_slug,plan_resolucion,anio,cuatrimestre,espacio_nombre,tipo,requisito,requiere_todos_hasta_anio,requiere_espacio_anio,requiere_espacio_cuatr,requiere_espacio_nombre,observaciones
profesorado-de-educacion-primaria,1935/14,1°,1,Alfabetización Académica,CURSAR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,1,Alfabetización Académica,RENDIR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,1,"Cuerpo, juego y expresión",CURSAR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,1,"Cuerpo, juego y expresión",RENDIR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,1,Historia Social Argentina y Latinoamericana,CURSAR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,1,Historia Social Argentina y Latinoamericana,RENDIR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,2,Educación Sexual Integral,CURSAR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,2,Educación Sexual Integral,RENDIR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,2,Psicología Educacional,CURSAR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,2,Psicología Educacional,RENDIR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,A,Ciencias Naturales,CURSAR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,A,Ciencias Naturales,RENDIR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,A,Matemática,CURSAR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,A,Matemática,RENDIR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,A,Pedagogía,CURSAR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,A,Pedagogía,RENDIR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,A,Práctica I: Instituciones educativas y comunidad,CURSAR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,A,Práctica I: Instituciones educativas y comunidad,RENDIR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,A,Prácticas del Lenguaje,CURSAR,,,,,,
profesorado-de-educacion-primaria,1935/14,1°,A,Prácticas del Lenguaje,RENDIR,,,,,,
profesorado-de-educacion-primaria,1935/14,2°,1,Curriculum,CURSAR,,,,,,
profesorado-de-educacion-primaria,1935/14,2°,1,Curriculum,RENDIR,,,,,,
profesorado-de-educacion-primaria,1935/14,2°,2,Historia y política de la educacional,CURSAR,,,,,,
profesorado-de-educacion-primaria,1935/14,2°,2,Historia y política de la educacional,RENDIR,,,,,,
profesorado-de-educacion-primaria,1935/14,2°,A,Ciencias Sociales,CURSAR,,,,,,
profesorado-de-educacion-primaria,1935/14,2°,A,Ciencias Sociales,RENDIR,,,,,,
